Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Statistical Challenges in Modern Astronomy V","Lecture Notes in Statistics","","","","10.1007/978-1-4614-3520-4","Eric D. FeigelsonG. Jogesh Babu","2012","http://link.springer.com/book/10.1007/978-1-4614-3520-4","Book"
"Noise Reduction by Wavelet Thresholding","Lecture Notes in Statistics","","","","10.1007/978-1-4613-0145-5","Maarten Jansen","2001","http://link.springer.com/book/10.1007/978-1-4613-0145-5","Book"
"Exact Confidence Bounds when Sampling from Small Finite Universes","Lecture Notes in Statistics","","","","10.1007/978-1-4612-3140-0","Tommy Wright","1991","http://link.springer.com/book/10.1007/978-1-4612-3140-0","Book"
"Differential-Geometrical Methods in Statistics","Lecture Notes in Statistics","","","","10.1007/978-1-4612-5056-2","Shun-ichi Amari","1985","http://link.springer.com/book/10.1007/978-1-4612-5056-2","Book"
"Elements of Statistical Disclosure Control","Lecture Notes in Statistics","","","","10.1007/978-1-4613-0121-9","Leon WillenborgTon de Waal","2001","http://link.springer.com/book/10.1007/978-1-4613-0121-9","Book"
"Nonlinear System Identification by Haar Wavelets","Lecture Notes in Statistics","","","","10.1007/978-3-642-29396-2","Przemysław Śliwiński","2013","http://link.springer.com/book/10.1007/978-3-642-29396-2","Book"
"Mathematical Learning Models — Theory and Algorithms","Lecture Notes in Statistics","","","","10.1007/978-1-4612-5612-0","Ulrich HerkenrathDieter KalinWalter Vogel","1983","http://link.springer.com/book/10.1007/978-1-4612-5612-0","Book"
"Statistical Analysis of Counting Processes","Lecture Notes in Statistics","","","","10.1007/978-1-4684-6275-3","Martin Jacobsen","1982","http://link.springer.com/book/10.1007/978-1-4684-6275-3","Book"
"Decomposition and Invariance of Measures, and Statistical Transformation Models","Lecture Notes in Statistics","","","","10.1007/978-1-4612-3682-5","Ole E. Barndorff-NielsenPreben BlæsildPoul Svante Eriksen","1989","http://link.springer.com/book/10.1007/978-1-4612-3682-5","Book"
"Robust Bayesian Analysis","Lecture Notes in Statistics","","","","10.1007/978-1-4612-1306-2","David Ríos InsuaFabrizio Ruggeri","2000","http://link.springer.com/book/10.1007/978-1-4612-1306-2","Book"
"Tools for Statistical Inference","Lecture Notes in Statistics","","","","10.1007/978-1-4684-0510-1","Martin A. Tanner","1991","http://link.springer.com/book/10.1007/978-1-4684-0510-1","Book"
"Bilinear Stochastic Models and Related Problems of Nonlinear Time Series Analysis","Lecture Notes in Statistics","","","","10.1007/978-1-4612-1552-3","György Terdik","1999","http://link.springer.com/book/10.1007/978-1-4612-1552-3","Book"
"The Theory and Applications of Statistical Inference Functions","Lecture Notes in Statistics","","","","10.1007/978-1-4612-3872-0","D. L. McLeishChristopher G. Small","1988","http://link.springer.com/book/10.1007/978-1-4612-3872-0","Book"
"Probability Towards 2000","Lecture Notes in Statistics","","","","10.1007/978-1-4612-2224-8","L. AccardiC. C. Heyde","1998","http://link.springer.com/book/10.1007/978-1-4612-2224-8","Book"
"Robust and Nonlinear Time Series Analysis","Lecture Notes in Statistics","","","","10.1007/978-1-4615-7821-5","Jürgen FrankeWolfgang HärdleDouglas Martin","1984","http://link.springer.com/book/10.1007/978-1-4615-7821-5","Book"
"Probabilistic Causality in Longitudinal Studies","Lecture Notes in Statistics","","","","10.1007/978-1-4612-2684-0","Mervi Eerola","1994","http://link.springer.com/book/10.1007/978-1-4612-2684-0","Book"
"Studies in the Atmospheric Sciences","Lecture Notes in Statistics","","","","10.1007/978-1-4612-2112-8","L. Mark BerlinerDouglas NychkaTimothy Hoar","2000","http://link.springer.com/book/10.1007/978-1-4612-2112-8","Book"
"Optimal Unbiased Estimation of Variance Components","Lecture Notes in Statistics","","","","10.1007/978-1-4615-7554-2","James D. Malley","1986","http://link.springer.com/book/10.1007/978-1-4615-7554-2","Book"
