Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Saint-Venant's Problem","Lecture Notes in Mathematics","","","","10.1007/BFb0078751","Dorin Ieşan","1987","http://link.springer.com/book/10.1007/BFb0078751","Book"
"Number Theory","Lecture Notes in Mathematics","","","","10.1007/BFb0072971","David V. ChudnovskyGregory V. ChudnovskyHarvey CohnMelvyn B. Nathanson","1987","http://link.springer.com/book/10.1007/BFb0072971","Book"
"Non-Smooth Dynamical Systems","Lecture Notes in Mathematics","","","","10.1007/BFb0103843","Markus Kunze","2000","http://link.springer.com/book/10.1007/BFb0103843","Book"
"Interpolation Spaces and Allied Topics in Analysis","Lecture Notes in Mathematics","","","","10.1007/BFb0099087","Michael CwikelJaak Peetre","1984","http://link.springer.com/book/10.1007/BFb0099087","Book"
"New Classes of 
            
              
            
            
$$
\mathcal{L}^P  - spaces
$$","Lecture Notes in Mathematics","","","","10.1007/BFb0096358","Jean Bourgain","1981","http://link.springer.com/book/10.1007/BFb0096358","Book"
"Contact Manifolds in Riemannian Geometry","Lecture Notes in Mathematics","","","","10.1007/BFb0079307","David Ervin Blair","1976","http://link.springer.com/book/10.1007/BFb0079307","Book"
"Cylindric Set Algebras","Lecture Notes in Mathematics","","","","10.1007/BFb0095612","Leon HenkinJ. Donald MonkAlfred TarskiHajnalka AndrékaIstván Németi","1981","http://link.springer.com/book/10.1007/BFb0095612","Book"
"Selberg's Zeta-, L-, and Eisensteinseries","Lecture Notes in Mathematics","","","","10.1007/BFb0071379","Ulrich Christian","1983","http://link.springer.com/book/10.1007/BFb0071379","Book"
"Reports of the Midwest Category Seminar III","Lecture Notes in Mathematics","","","","10.1007/BFb0059139","M. BarrP. BerthiaumeB. J. DayJ. DuskinS. FefermanG. M. KellyS. Mac LaneM. TierneyR. F. C. Walters","1969","http://link.springer.com/book/10.1007/BFb0059139","Book"
"Séminaire d’Algèbre Paul Dubreil et Marie-Paul Malliavin","Lecture Notes in Mathematics","","","","10.1007/BFb0084069","Marie-Paule Malliavin","1989","http://link.springer.com/book/10.1007/BFb0084069","Book"
"Séminaire Bourbaki vol. 1975/76 Exposés 471–488","Lecture Notes in Mathematics","","","","10.1007/BFb0096057","","1977","http://link.springer.com/book/10.1007/BFb0096057","Book"
"Stable Homotopy Groups of Spheres","Lecture Notes in Mathematics","","","","10.1007/BFb0083795","Stanley O. Kochman","1990","http://link.springer.com/book/10.1007/BFb0083795","Book"
"Ecole d'Eté de Probabilités de Saint-Flour V-1975","Lecture Notes in Mathematics","","","","10.1007/BFb0079695","Prof. P. -L. Hennequin","1976","http://link.springer.com/book/10.1007/BFb0079695","Book"
"Lectures on the Theory of Algebraic Functions of One Variable","Lecture Notes in Mathematics","","","","10.1007/BFb0060944","Max Deuring","1973","http://link.springer.com/book/10.1007/BFb0060944","Book"
"Séminaire d'Algèbre Paul Dubreil et Marie-Paule Malliavin","Lecture Notes in Mathematics","","","","10.1007/BFb0090110","Marie-Paule Malliavin","1980","http://link.springer.com/book/10.1007/BFb0090110","Book"
"Singularities and Constructive Methods for Their Treatment","Lecture Notes in Mathematics","","","","10.1007/BFb0076257","Pierre GrisvardWolfgang L. WendlandJohn R. Whiteman","1985","http://link.springer.com/book/10.1007/BFb0076257","Book"
"Continuous Lattices","Lecture Notes in Mathematics","","","","10.1007/BFb0089899","Bernhard BanaschewskiRudolf-Eberhard Hoffmann","1981","http://link.springer.com/book/10.1007/BFb0089899","Book"
"Valuations of Skew Fields and Projective Hjelmslev Spaces","Lecture Notes in Mathematics","","","","10.1007/BFb0074653","Karl Mathiak","1986","http://link.springer.com/book/10.1007/BFb0074653","Book"
"Posn(R) and Eisenstein Series","Lecture Notes in Mathematics","","","","10.1007/b136063","Jay JorgensonSerge Lang","2005","http://link.springer.com/book/10.1007/b136063","Book"
"Théorie Géométrique des Polynômes Eulériens","Lecture Notes in Mathematics","","","","10.1007/BFb0060799","Dominique FoataMarcel-P. Schützenberger","1970","http://link.springer.com/book/10.1007/BFb0060799","Book"
"Products of Conjugacy Classes in Groups","Lecture Notes in Mathematics","","","","10.1007/BFb0072284","Zvi AradMarcel Herzog","1985","http://link.springer.com/book/10.1007/BFb0072284","Book"
"Distributions and Nonlinear Partial Differential Equations","Lecture Notes in Mathematics","","","","10.1007/BFb0067792","Elemer E. Rosinger","1978","http://link.springer.com/book/10.1007/BFb0067792","Book"
"Discontinuous Čebyšev Systems","Lecture Notes in Mathematics","","","","10.1007/BFb0071032","Roland Zielke","1979","http://link.springer.com/book/10.1007/BFb0071032","Book"
"Vortex Methods","Lecture Notes in Mathematics","","","","10.1007/BFb0089765","Christopher AndersonClaude Greengard","1988","http://link.springer.com/book/10.1007/BFb0089765","Book"
"Design of Survivable Networks","Lecture Notes in Mathematics","","","","10.1007/BFb0088963","Mechthild Stoer","1992","http://link.springer.com/book/10.1007/BFb0088963","Book"
"Proceedings of the Summer School in Logic Leeds, 1967","Lecture Notes in Mathematics","","","","10.1007/BFb0079093","M. H. Löb","1968","http://link.springer.com/book/10.1007/BFb0079093","Book"
"Séminaire de Probabilités XXXIII","Lecture Notes in Mathematics","","","","10.1007/BFb0096508","Jacques AzémaMichel ÉmeryMichel LedouxMarc Yor","1999","http://link.springer.com/book/10.1007/BFb0096508","Book"
"Localization in Group Theory and Homotopy Theory","Lecture Notes in Mathematics","","","","10.1007/BFb0070635","Prof. Dr. Peter J. Hilton","1974","http://link.springer.com/book/10.1007/BFb0070635","Book"
"Partial Differential Equations","Lecture Notes in Mathematics","","","","10.1007/BFb0082920","Shiing-shen Chern","1988","http://link.springer.com/book/10.1007/BFb0082920","Book"
"Mécanique Aléatoire","Lecture Notes in Mathematics","","","","10.1007/BFb0088591","Jean-Michel Bismut","1981","http://link.springer.com/book/10.1007/BFb0088591","Book"
"Topological Stability of Smooth Mappings","Lecture Notes in Mathematics","","","","10.1007/BFb0095244","Christopher G. GibsonKlaus WirthmüllerAndrew A. du PlessisEduard J. N. Looijenga","1976","http://link.springer.com/book/10.1007/BFb0095244","Book"
"Surfaces and Planar Discontinuous Groups","Lecture Notes in Mathematics","","","","10.1007/BFb0089692","Heiner ZieschangElmar VogtHans-Dieter Coldewey","1980","http://link.springer.com/book/10.1007/BFb0089692","Book"
"Grossissements de filtrations: exemples et applications","Lecture Notes in Mathematics","","","","10.1007/BFb0075765","Th. JeulinM. Yor","1985","http://link.springer.com/book/10.1007/BFb0075765","Book"
"Boundary Value Problems and Markov Processes","Lecture Notes in Mathematics","","","","10.1007/BFb0092029","Kazuaki Taira","1991","http://link.springer.com/book/10.1007/BFb0092029","Book"
"Topics in Algebra","Lecture Notes in Mathematics","","","","10.1007/BFb0103118","M. F. NewmanJ. S. Richardson","1978","http://link.springer.com/book/10.1007/BFb0103118","Book"
"Transformation Groups","Lecture Notes in Mathematics","","","","10.1007/BFb0085593","Katsuo Kawakubo","1989","http://link.springer.com/book/10.1007/BFb0085593","Book"
"Well-Posed Optimization Problems","Lecture Notes in Mathematics","","","","10.1007/BFb0084195","Asen L. DontchevTullio Zolezzi","1993","http://link.springer.com/book/10.1007/BFb0084195","Book"
"Séminaire de Probabilités XXVI","Lecture Notes in Mathematics","","","","10.1007/BFb0084305","Jacques AzémaMarc YorPaul André Meyer","1992","http://link.springer.com/book/10.1007/BFb0084305","Book"
"Intégrales Singulières","Lecture Notes in Mathematics","","","","10.1007/BFb0070445","Antoni Zygmund","1971","http://link.springer.com/book/10.1007/BFb0070445","Book"
"Sequences, Discrepancies and Applications","Lecture Notes in Mathematics","","","","10.1007/BFb0093404","Michael DrmotaRobert F. Tichy","1997","http://link.springer.com/book/10.1007/BFb0093404","Book"
"Techniques of Admissible Recursion Theory","Lecture Notes in Mathematics","","","","10.1007/BFb0099164","Chi-Tat Chong","1984","http://link.springer.com/book/10.1007/BFb0099164","Book"
"Optimization","Lecture Notes in Mathematics","","","","10.1007/BFb0083581","Szymon Dolecki","1989","http://link.springer.com/book/10.1007/BFb0083581","Book"
"Séminaire de Théorie du Potentiel Paris, No. 5","Lecture Notes in Mathematics","","","","10.1007/BFb0094144","Francis HirschGabriel Mokobodzki","1980","http://link.springer.com/book/10.1007/BFb0094144","Book"
"Differential Calculus in Topological Linear Spaces","Lecture Notes in Mathematics","","","","10.1007/BFb0061580","Sadayuki Yamamuro","1974","http://link.springer.com/book/10.1007/BFb0061580","Book"
"Functional Analysis II","Lecture Notes in Mathematics","","","","10.1007/BFb0072440","Davor ButkovićSvetozar KurepaHrvoje Kraljević","1987","http://link.springer.com/book/10.1007/BFb0072440","Book"
"Padé Approximants for Operators: Theory and Applications","Lecture Notes in Mathematics","","","","10.1007/BFb0099706","Annie Cuyt","1984","http://link.springer.com/book/10.1007/BFb0099706","Book"
"Topological Vector Spaces","Lecture Notes in Mathematics","","","","10.1007/BFb0068514","Norbert AdaschBruno ErnstDieter Keim","1978","http://link.springer.com/book/10.1007/BFb0068514","Book"
"Representations of Commutative Semitopological Semigroups","Lecture Notes in Mathematics","","","","10.1007/BFb0068935","Dr. Charles F. DunklDr. Donald E. Ramirez","1975","http://link.springer.com/book/10.1007/BFb0068935","Book"
"First Order Categorical Logic","Lecture Notes in Mathematics","","","","10.1007/BFb0066201","Michael MakkaiGonzalo E. Reyes","1977","http://link.springer.com/book/10.1007/BFb0066201","Book"
"Asymptotics for Orthogonal Polynomials","Lecture Notes in Mathematics","","","","10.1007/BFb0081880","Walter Van Assche","1987","http://link.springer.com/book/10.1007/BFb0081880","Book"
"Quadratische Formen über Körpern","Lecture Notes in Mathematics","","","","10.1007/BFb0069629","Falko Lorenz","1970","http://link.springer.com/book/10.1007/BFb0069629","Book"
"Algebraic Geometry","Lecture Notes in Mathematics","","","","10.1007/BFb0083328","Andrew John SommeseAldo BiancofioreElvira Laura Livorni","1990","http://link.springer.com/book/10.1007/BFb0083328","Book"
"Mathieu Functions and Spheroidal Functions and Their Mathematical Foundations","Lecture Notes in Mathematics","","","","10.1007/BFb0096194","Josef MeixnerFriedrich W. SchäfkeGerhard Wolf","1980","http://link.springer.com/book/10.1007/BFb0096194","Book"
