Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"An Introduction to Difference Equations","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-3110-1","Saber N. Elaydi","1999","http://link.springer.com/book/10.1007/978-1-4757-3110-1","Book"
"Finite-Dimensional Vector Spaces","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-6387-6","Paul R. Halmos","1958","http://link.springer.com/book/10.1007/978-1-4612-6387-6","Book"
"Short Calculus","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4613-0077-9","Serge Lang","2002","http://link.springer.com/book/10.1007/978-1-4613-0077-9","Book"
"Elementary Probability Theory with Stochastic Processes","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4684-9346-7","Kai Lai Chung","1979","http://link.springer.com/book/10.1007/978-1-4684-9346-7","Book"
"Advanced Calculus","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4419-7332-0","James J. Callahan","2010","http://link.springer.com/book/10.1007/978-1-4419-7332-0","Book"
"A Concrete Introduction to Higher Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4684-0065-6","Lindsay Childs","1979","http://link.springer.com/book/10.1007/978-1-4684-0065-6","Book"
"Combinatorics and Graph Theory","Undergraduate Texts in Mathematics","","","","10.1007/978-0-387-79711-3","John HarrisJeffry L. HirstMichael Mossinghoff","2008","http://link.springer.com/book/10.1007/978-0-387-79711-3","Book"
"A Course in Modern Geometries","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-3831-5","Judith N. Cederberg","1989","http://link.springer.com/book/10.1007/978-1-4757-3831-5","Book"
"The Lebesgue-Stieltjes Integral","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-1174-7","M. CarterB. van Brunt","2000","http://link.springer.com/book/10.1007/978-1-4612-1174-7","Book"
"Intermediate Calculus","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-1086-3","Murray H. ProtterCharles B. Morrey Jr.","1985","http://link.springer.com/book/10.1007/978-1-4612-1086-3","Book"
"Undergraduate Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4684-9234-7","Serge Lang","1987","http://link.springer.com/book/10.1007/978-1-4684-9234-7","Book"
"Geometry by Its History","Undergraduate Texts in Mathematics","","","","10.1007/978-3-642-29163-0","Alexander OstermannGerhard Wanner","2012","http://link.springer.com/book/10.1007/978-3-642-29163-0","Book"
"Mathematics and Its History","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4419-6053-5","John Stillwell","2010","http://link.springer.com/book/10.1007/978-1-4419-6053-5","Book"
"Applied Partial Differential Equations","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4684-0533-0","J. David Logan","1998","http://link.springer.com/book/10.1007/978-1-4684-0533-0","Book"
"Calculus III","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-5028-9","Jerrold MarsdenAlan Weinstein","1985","http://link.springer.com/book/10.1007/978-1-4612-5028-9","Book"
"Naive Set Theory","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-1645-0","Paul R. Halmos","1974","http://link.springer.com/book/10.1007/978-1-4757-1645-0","Book"
"Introduction to Analytic Number Theory","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-5579-4","Tom M. Apostol","1976","http://link.springer.com/book/10.1007/978-1-4757-5579-4","Book"
"Topological Spaces","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-0665-1","Gerard BuskesArnoud van Rooij","1997","http://link.springer.com/book/10.1007/978-1-4612-0665-1","Book"
"Combinatorial Optimization for Undergraduates","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4613-9511-9","L. R. Foulds","1984","http://link.springer.com/book/10.1007/978-1-4613-9511-9","Book"
"Lectures on Boolean Algebras","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-9855-7","Paul R. Halmos","1974","http://link.springer.com/book/10.1007/978-1-4612-9855-7","Book"
"Geometry","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4684-0130-1","Richard S. MillmanGeorge D. Parker","1981","http://link.springer.com/book/10.1007/978-1-4684-0130-1","Book"
"Limits","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-0697-2","Alan F. Beardon","1997","http://link.springer.com/book/10.1007/978-1-4612-0697-2","Book"
"Real Mathematical Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-0-387-21684-3","Charles Chapman Pugh","2002","http://link.springer.com/book/10.1007/978-0-387-21684-3","Book"
"Combinatorics and Graph Theory","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-4803-1","John M. HarrisJeffry L. HirstMichael J. Mossinghoff","2000","http://link.springer.com/book/10.1007/978-1-4757-4803-1","Book"
"Elementary Probability Theory with Stochastic Processes","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-3973-2","Kai Lai Chung","1974","http://link.springer.com/book/10.1007/978-1-4757-3973-2","Book"
"Mathematics and Its History","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4899-0007-4","John Stillwell","1989","http://link.springer.com/book/10.1007/978-1-4899-0007-4","Book"
"Undergraduate Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-6898-5","Serge Lang","1990","http://link.springer.com/book/10.1007/978-1-4757-6898-5","Book"
"An Introduction to Probabilistic Modeling","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-1046-7","Pierre Brémaud","1988","http://link.springer.com/book/10.1007/978-1-4612-1046-7","Book"
"Numerical Mathematics","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-4442-4","Günther HämmerlinKarl-Heinz Hoffman","1991","http://link.springer.com/book/10.1007/978-1-4612-4442-4","Book"
"Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4613-9410-5","L. E. Sigler","1976","http://link.springer.com/book/10.1007/978-1-4613-9410-5","Book"
"Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-3-662-26738-7","L. E. Sigler","1976","http://link.springer.com/book/10.1007/978-3-662-26738-7","Book"
"A Concrete Introduction to Higher Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4419-8702-0","Lindsay N. Childs","1995","http://link.springer.com/book/10.1007/978-1-4419-8702-0","Book"
"Calculus II","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-5026-5","Jerrold MarsdenAlan Weinstein","1985","http://link.springer.com/book/10.1007/978-1-4612-5026-5","Book"
"Linear Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-1949-9","Serge Lang","1987","http://link.springer.com/book/10.1007/978-1-4757-1949-9","Book"
"The Laplace Transform","Undergraduate Texts in Mathematics","","","","10.1007/978-0-387-22757-3","Joel L. Schiff","1999","http://link.springer.com/book/10.1007/978-0-387-22757-3","Book"
"Basic Concepts of Algebraic Topology","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4684-9475-4","Fred H. Croom","1978","http://link.springer.com/book/10.1007/978-1-4684-9475-4","Book"
"Variational Calculus and Optimal Control","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-0737-5","John L. Troutman","1996","http://link.springer.com/book/10.1007/978-1-4612-0737-5","Book"
"Calculus: A Liberal Art","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-1658-2","William McGowen Priestley","1998","http://link.springer.com/book/10.1007/978-1-4612-1658-2","Book"
"Calculus: An Historical Approach","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4684-9349-8","William McGowen Priestley","1979","http://link.springer.com/book/10.1007/978-1-4684-9349-8","Book"
"The Joy of Sets","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-0903-4","Keith Devlin","1993","http://link.springer.com/book/10.1007/978-1-4612-0903-4","Book"
"Elements of Number Theory","Undergraduate Texts in Mathematics","","","","10.1007/978-0-387-21735-2","John Stillwell","2003","http://link.springer.com/book/10.1007/978-0-387-21735-2","Book"
"Second Year Calculus","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-0959-1","David M. Bressoud","1991","http://link.springer.com/book/10.1007/978-1-4612-0959-1","Book"
"Analysis by Its History","Undergraduate Texts in Mathematics","","","","10.1007/978-0-387-77036-9","E. HairerG. Wanner","2008","http://link.springer.com/book/10.1007/978-0-387-77036-9","Book"
"Linear Programming and Its Applications","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-1009-2","James K. Strayer","1989","http://link.springer.com/book/10.1007/978-1-4612-1009-2","Book"
"A Course in Modern Geometries","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-3490-4","Judith N. Cederberg","2001","http://link.springer.com/book/10.1007/978-1-4757-3490-4","Book"
"Elementary Stability and Bifurcation Theory","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4684-9336-8","Gérard IoossDaniel D. Joseph","1980","http://link.springer.com/book/10.1007/978-1-4684-9336-8","Book"
"Ordinary Differential Equations","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4614-3618-8","William A. AdkinsMark G. Davidson","2012","http://link.springer.com/book/10.1007/978-1-4614-3618-8","Book"
