Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Non-Abelian Harmonic Analysis","Universitext","","","","10.1007/978-1-4613-9200-2","Roger HoweEng Chye Tan","1992","http://link.springer.com/book/10.1007/978-1-4613-9200-2","Book"
"Matrix Groups","Universitext","","","","10.1007/978-1-4684-0093-9","Dr. Morton L. Curtis","1979","http://link.springer.com/book/10.1007/978-1-4684-0093-9","Book"
"Algebraic Geometry and Commutative Algebra","Universitext","","","","10.1007/978-1-4471-4829-6","Siegfried Bosch","2013","http://link.springer.com/book/10.1007/978-1-4471-4829-6","Book"
"Frontiers in Numerical Analysis","Universitext","","","","10.1007/978-3-642-55692-0","James F. BloweyAlan W. CraigTony Shardlow","2003","http://link.springer.com/book/10.1007/978-3-642-55692-0","Book"
"Singularities of integrals","Universitext","","","","10.1007/978-0-85729-603-0","Frédéric Pham","2011","http://link.springer.com/book/10.1007/978-0-85729-603-0","Book"
"Classical Tessellations and Three-Manifolds","Universitext","","","","10.1007/978-3-642-61572-6","José María Montesinos-Amilibia","1987","http://link.springer.com/book/10.1007/978-3-642-61572-6","Book"
"Optimization Methods","Universitext","","","","10.1007/978-3-642-87731-5","Henning Tolle","1975","http://link.springer.com/book/10.1007/978-3-642-87731-5","Book"
"A Polynomial Approach to Linear Algebra","Universitext","","","","10.1007/978-1-4614-0338-8","Paul A. Fuhrmann","2012","http://link.springer.com/book/10.1007/978-1-4614-0338-8","Book"
"Variational Methods in Theoretical Mechanics","Universitext","","","","10.1007/978-3-642-68811-9","Professor John T. OdenProfessor Junuthula N. Reddy","1983","http://link.springer.com/book/10.1007/978-3-642-68811-9","Book"
"Linear Optimization and Extensions","Universitext","","","","10.1007/978-3-642-56628-8","Dimitris AlevrasManfred W. Padberg","2001","http://link.springer.com/book/10.1007/978-3-642-56628-8","Book"
